ue1_distance_ft,ue2_distance_ft,gain_db,amp,amp_bandwidth,jammer_gnb_distance_ft,pci,ue_identifier,dl_cqi,dl_ri,dl_mcs,dl_brate,dl_ok,dl_nok,dl_percent,dl_bs,ul_pusch,ul_rsrp,ul_ri,ul_mcs,ul_brate,ul_ok,ul_nok,ul_percent,ul_bsr,ul_ta,ul_phr
20,30,70,1.2,,1,1,ue2,11,1.0,12,704,2,1,33,0,n/a,n/a,1,0,0,0,0,0,0,204,-9
20,30,70,1.2,,1,1,ue2,8,1.0,12,2700000.0,239,1,0,0,26.1,-12.4,1,26,495000.0,44,12,21,3.91k,285,-4
20,30,70,1.2,,1,1,ue2,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,194,-9
20,30,70,1.2,,1,1,ue2,9,1.0,14,465000.0,110,10,8,0,26.3,-12.1,1,26,395000.0,45,22,32,2.01k,300,-4
20,30,70,1.2,,1,1,ue2,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,206,-9
20,30,70,1.2,,1,1,ue2,10,1.0,12,165000.0,59,6,9,761,27.6,-10.5,1,27,290000.0,34,8,19,745,321,-4
20,30,70,1.2,,1,1,ue2,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,223,-9
20,30,70,1.2,,1,1,ue2,10,1.0,11,29000.0,19,3,13,0,25.7,-12.6,1,27,251000.0,19,10,34,0,332,-8
20,30,70,1.2,,1,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,235,-9
20,30,70,1.2,,1,1,ue2,10,1.0,10,1900.0,5,0,0,0,27.4,-9.2,1,27,80000.0,13,4,23,0,352,-3
20,30,70,1.2,,1,1,ue2,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,259,-9
20,30,70,1.2,,1,1,ue2,10,1.0,10,664,2,0,0,0,27.2,-9.5,1,27,53000.0,8,3,27,0,345,-3
20,30,70,1.2,,1,1,ue2,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,265,-9
20,30,70,1.2,,1,1,ue2,10,1.0,6,208,1,0,0,0,28.4,-9.1,1,27,21000.0,4,1,20,0,346,-3
20,30,70,1.2,,1,1,ue2,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,264,-9
20,30,70,1.2,,1,1,ue2,9,1.0,12,7500.0,9,2,18,0,29.1,-9.0,1,27,45000.0,9,2,18,0,359,-5
20,30,70,1.2,,1,1,ue2,11,1.0,0,0,0,0,0,0,27.4,-13.1,1,27,4900.0,1,0,0,0,270,-9
20,30,70,1.2,,1,1,ue2,8,1.0,0,0,0,0,0,0,29.8,-8.7,1,27,24000.0,5,0,0,2.01k,344,-4
20,30,70,1.2,,1,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,284,-9
20,30,70,1.2,,1,1,ue2,7,1.0,10,320,1,0,0,0,26.9,-9.7,1,26,40000.0,6,0,0,0,325,-5
20,30,70,1.2,,1,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,291,-9
20,30,70,1.2,,1,1,ue2,7,1.0,8,1400000.0,143,3,2,6.64k,22.8,-9.9,1,21,242000.0,25,7,21,745,348,-2
20,30,70,1.2,,1,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,294,-9
20,30,70,1.2,,1,1,ue2,7,1.0,8,201000.0,28,1,3,0,22.0,-7.2,1,19,44000.0,11,2,15,0,364,-2
20,30,70,1.2,,1,1,ue2,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,268,-9
20,30,70,1.2,,1,1,ue2,7,1.0,6,2100.0,11,3,21,0,21.7,-8.1,1,19,9100.0,2,0,0,0,382,-2
20,30,70,1.2,,1,1,ue2,11,1.0,16,1100.0,2,0,0,0,n/a,n/a,1,0,0,0,0,0,0,220,-9
20,30,70,1.2,,1,1,ue2,8,1.0,5,28000.0,21,0,0,0,28.7,-8.5,1,26,72000.0,13,0,0,0,356,-3
20,30,70,1.2,,1,1,ue2,12,1.0,16,6100.0,12,5,29,0,25.0,-12.9,1,27,4900.0,1,2,66,0,397,-8
20,30,70,1.2,,1,1,ue2,8,1.0,6,1400.0,6,1,14,0,29.9,-8.4,1,27,26000.0,5,0,0,0,286,-3
20,30,70,1.2,,1,1,ue2,11,1.0,14,5000.0,11,7,38,0,n/a,n/a,1,0,0,0,0,0,0,261,-8
20,30,70,1.2,,1,1,ue2,8,1.0,9,265000.0,68,6,8,3,24.6,-11.3,1,25,444000.0,39,23,37,0,326,0
20,30,70,1.2,,1,1,ue2,12,1.0,14,3100.0,7,1,12,0,27.5,-13.0,1,27,9700.0,2,0,0,0,146,-9
20,30,70,1.2,,1,1,ue2,9,1.0,9,14000.0,10,0,0,0,27.6,-10.6,1,26,91000.0,11,2,15,0,332,-3
20,30,70,1.2,,1,1,ue2,12,1.0,14,1800.0,4,0,0,0,27.5,-12.8,1,27,9700.0,2,0,0,0,159,-9
20,30,70,1.2,,1,1,ue2,7,1.0,4,280,2,0,0,0,27.5,-11.7,1,27,58000.0,6,2,25,0,310,-3
20,30,70,1.2,,1,1,ue2,12,1.0,0,0,0,0,0,0,25.5,-11.8,1,27,4900.0,1,1,50,0,176,-9
20,30,70,1.2,,1,1,ue2,7,1.0,0,0,0,0,0,0,29.7,-9.6,1,27,15000.0,3,0,0,0,286,-5
20,30,70,1.2,,1,1,ue2,12,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,191,-9
20,30,70,1.2,,1,1,ue2,7,1.0,4,144,1,0,0,0,28.4,-11.2,1,27,56000.0,6,1,14,0,302,-4
20,30,70,1.2,,1,1,ue2,12,1.0,0,0,0,0,0,0,27.5,-11.7,1,27,4900.0,1,0,0,0,167,-10
20,30,70,1.2,,1,1,ue2,7,1.0,3,19000.0,26,1,3,0,26.0,-9.4,1,25,132000.0,21,6,22,0,344,-4
20,30,70,1.2,,1,1,ue2,12,1.0,0,0,0,0,0,0,28.0,-12.0,1,27,4900.0,1,0,0,0,213,-10
20,30,70,1.2,,1,1,ue2,7,1.0,0,0,0,0,0,0,29.6,-8.7,1,27,4900.0,1,0,0,0,342,-4
20,30,70,1.2,,1,1,ue2,12,1.0,0,0,0,0,0,0,28.1,-11.5,1,27,4900.0,1,0,0,0,156,-10
20,30,70,1.2,,1,1,ue2,6,1.0,0,0,0,0,0,0,29.6,-8.7,1,27,39000.0,8,0,0,0,355,-4
20,30,70,1.2,,1,1,ue2,12,1.0,14,456,1,1,50,0,n/a,n/a,1,0,0,0,0,0,0,326,-10
20,30,70,1.2,,1,1,ue2,7,1.0,0,0,0,0,0,0,29.8,-9.1,1,27,29000.0,6,0,0,0,328,-4
