ue1_distance_ft,ue2_distance_ft,gain_db,amp,amp_bandwidth,jammer_gnb_distance_ft,pci,ue_identifier,dl_cqi,dl_ri,dl_mcs,dl_brate,dl_ok,dl_nok,dl_percent,dl_bs,ul_pusch,ul_rsrp,ul_ri,ul_mcs,ul_brate,ul_ok,ul_nok,ul_percent,ul_bsr,ul_ta,ul_phr
20,30,89.5,5,,1,1,ue2,14,1.0,13,26000.0,7,0,0,0,25.0,-8.7,1,22,13000.0,3,0,0,0,61,0
20,30,89.5,5,,1,1,ue2,12,1.0,20,214000.0,82,14,14,0,28.7,-10.1,1,27,244000.0,36,1,2,1.45k,289,0
20,30,89.5,5,,1,1,ue2,11,1.0,16,433000.0,103,7,6,0,27.9,-12.4,1,27,493000.0,48,8,14,384,308,0
20,30,89.5,5,,1,1,ue2,12,1.0,18,208000.0,69,0,0,3,29.0,-10.0,1,27,163000.0,29,1,3,0,303,0
20,30,89.5,5,,1,1,ue2,14,1.0,15,8300.0,11,3,21,0,25.8,-2.2,1,22,13000.0,3,0,0,0,66,-1
20,30,89.5,5,,1,1,ue2,11,1.0,15,119000.0,46,2,4,0,29.8,-8.9,1,27,110000.0,23,0,0,0,319,0
20,30,89.5,5,,1,1,ue2,11,1.0,24,848,1,1,50,0,32.4,-1.8,1,27,4900.0,1,0,0,0,12,-3
20,30,89.5,5,,1,1,ue2,11,1.0,15,75000.0,36,1,2,0,30.0,-8.6,1,27,107000.0,22,0,0,0,328,0
20,30,89.5,5,,1,1,ue2,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,268,-3
20,30,89.5,5,,1,1,ue2,11,1.0,15,91000.0,39,0,0,0,29.7,-8.7,1,27,97000.0,20,0,0,0,338,0
20,30,89.5,5,,1,1,ue2,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,248,-3
20,30,89.5,5,,1,1,ue2,11,1.0,15,91000.0,33,0,0,0,29.3,-9.3,1,27,83000.0,17,0,0,0,297,0
20,30,89.5,5,,1,1,ue2,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,258,-3
20,30,89.5,5,,1,1,ue2,11,1.0,15,100000.0,45,0,0,0,29.6,-8.8,1,27,113000.0,24,0,0,0,290,0
20,30,89.5,5,,1,1,ue2,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,269,-3
20,30,89.5,5,,1,1,ue2,11,1.0,15,91000.0,33,0,0,3,29.5,-8.9,1,27,83000.0,17,0,0,0,294,0
20,30,89.5,5,,1,1,ue2,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,271,-3
20,30,89.5,5,,1,1,ue2,11,1.0,15,85000.0,33,0,0,0,29.2,-9.3,1,27,78000.0,16,0,0,0,318,0
20,30,89.5,5,,1,1,ue2,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,279,-3
20,30,89.5,5,,1,1,ue2,11,1.0,14,87000.0,36,1,2,3,28.9,-9.1,1,27,92000.0,19,0,0,0,323,0
20,30,89.5,5,,1,1,ue2,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,290,-3
20,30,89.5,5,,1,1,ue2,11,1.0,15,80000.0,30,1,3,3,29.5,-9.1,1,27,88000.0,18,0,0,0,310,0
20,30,89.5,5,,1,1,ue2,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,266,-3
20,30,89.5,5,,1,1,ue2,11,1.0,15,44000.0,24,0,0,0,29.6,-8.7,1,27,83000.0,17,0,0,0,293,0
20,30,89.5,5,,1,1,ue2,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,270,-3
20,30,89.5,5,,1,1,ue2,11,1.0,15,30000.0,33,0,0,0,29.7,-8.5,1,27,107000.0,22,0,0,0,309,0
20,30,89.5,5,,1,1,ue2,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,280,-3
20,30,89.5,5,,1,1,ue2,11,1.0,15,110000.0,72,1,1,93,29.4,-8.9,1,27,147000.0,31,0,0,0,297,0
20,30,89.5,5,,1,1,ue2,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,289,-3
20,30,89.5,5,,1,1,ue2,11,1.0,15,137000.0,115,1,0,3,29.1,-9.1,1,27,220000.0,46,0,0,0,318,0
20,30,89.5,5,,1,1,ue2,11,1.0,18,2400.0,4,0,0,0,31.2,-1.8,1,27,19000.0,4,0,0,0,335,-3
20,30,89.5,5,,1,1,ue2,11,1.0,13,64000.0,72,43,37,0,29.3,-8.7,1,27,165000.0,34,0,0,0,321,0
20,30,89.5,5,,1,1,ue2,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,270,-3
20,30,89.5,5,,1,1,ue2,11,1.0,10,47000.0,54,95,63,0,29.0,-9.9,1,27,156000.0,32,0,0,0,296,0
20,30,89.5,5,,1,1,ue2,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,286,-3
20,30,89.5,5,,1,1,ue2,10,1.0,9,17000.0,21,44,67,0,29.6,-9.0,1,27,63000.0,13,0,0,0,312,0
20,30,89.5,5,,1,1,ue2,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,284,-3
20,30,89.5,5,,1,1,ue2,10,1.0,8,22000.0,22,42,65,0,27.2,-13.7,1,27,643000.0,29,3,9,39.8k,306,0
20,30,89.5,5,,1,1,ue2,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,288,-3
20,30,89.5,5,,1,1,ue2,9,1.0,7,43000.0,45,61,57,0,26.5,-14.9,1,27,1800000.0,66,9,12,0,310,0
20,30,89.5,5,,1,1,ue2,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,287,-3
20,30,89.5,5,,1,1,ue2,9,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,281,0
20,30,89.5,5,,1,1,ue2,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,290,-3
20,30,89.5,5,,1,1,ue2,9,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,265,0
20,30,89.5,5,,1,1,ue2,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,302,-3
20,30,89.5,5,,1,1,ue2,9,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,278,0
20,30,89.5,5,,1,1,ue2,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,307,-3
20,30,89.5,5,,1,1,ue2,9,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,272,0
20,30,89.5,5,,1,1,ue2,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,279,-3
20,30,89.5,5,,1,1,ue2,9,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,290,0
20,30,89.5,5,,1,1,ue2,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,273,-3
20,30,89.5,5,,1,1,ue2,9,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,266,0
20,30,89.5,5,,1,1,ue2,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,281,-3
20,30,89.5,5,,1,1,ue2,9,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,264,0
20,30,89.5,5,,1,1,ue2,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,291,-3
20,30,89.5,5,,1,1,ue2,9,1.0,7,4300.0,6,8,57,0,28.7,-10.6,1,27,19000.0,4,0,0,0,284,0
20,30,89.5,5,,1,1,ue2,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,306,-3
20,30,89.5,5,,1,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,281,0
20,30,89.5,5,,1,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,288,-3
20,30,89.5,5,,1,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,279,0
20,30,89.5,5,,1,1,ue2,11,1.0,0,0,0,0,0,0,31.4,-2.5,1,27,4900.0,1,0,0,0,274,-4
20,30,89.5,5,,1,1,ue2,9,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,282,0
20,30,89.5,5,,1,1,ue2,11,1.0,0,0,0,0,0,0,31.2,-2.5,1,27,4900.0,1,0,0,0,358,-4
20,30,89.5,5,,1,1,ue2,9,1.0,7,688,3,4,57,0,28.6,-10.3,1,27,4900.0,1,0,0,0,369,0
20,30,89.5,5,,1,1,ue2,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,287,-4
20,30,89.5,5,,1,1,ue2,9,1.0,7,704,3,7,70,0,30.3,-8.5,1,27,4900.0,1,0,0,0,264,0
20,30,89.5,5,,1,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,297,-4
20,30,89.5,5,,1,1,ue2,10,1.0,8,848,2,5,71,0,29.6,-8.4,1,27,9700.0,2,0,0,0,307,0
20,30,89.5,5,,1,1,ue2,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,301,-4
20,30,89.5,5,,1,1,ue2,9,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,276,0
20,30,89.5,5,,1,1,ue2,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,299,-4
