ue1_distance_ft,ue2_distance_ft,gain_db,amp,amp_bandwidth,jammer_gnb_distance_ft,pci,ue_identifier,dl_cqi,dl_ri,dl_mcs,dl_brate,dl_ok,dl_nok,dl_percent,dl_bs,ul_pusch,ul_rsrp,ul_ri,ul_mcs,ul_brate,ul_ok,ul_nok,ul_percent,ul_bsr,ul_ta,ul_phr
20,30,89.5,1.2,,1,1,ue2,13,1.0,18,269000.0,75,20,21,66,16.5,-22.6,1,19,734000.0,60,51,45,5.45k,259,-15
20,30,89.5,1.2,,1,1,ue2,12,1.0,17,776000.0,95,5,5,0,18.8,-19.3,1,17,237000.0,25,11,30,0,329,-10
20,30,89.5,1.2,,1,1,ue2,12,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,351,-10
20,30,89.5,1.2,,1,1,ue2,11,1.0,14,78000.0,39,11,22,186,23.2,-16.5,1,25,124000.0,18,6,25,0,352,-15
20,30,89.5,1.2,,1,1,ue2,11,1.0,13,348000.0,46,1,2,0,26.0,-13.2,1,23,52000.0,11,0,0,0,319,-10
20,30,89.5,1.2,,1,1,ue2,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,341,-10
20,30,89.5,1.2,,1,1,ue2,12,1.0,16,291000.0,57,16,21,0,25.2,-14.2,1,27,575000.0,28,22,44,0,229,-12
20,30,89.5,1.2,,1,1,ue2,11,1.0,12,32000.0,20,0,0,0,25.3,-14.9,1,26,56000.0,9,4,30,0,322,-10
20,30,89.5,1.2,,1,1,ue2,10,1.0,14,11000000.0,604,3,0,17.4k,27.5,-11.5,1,27,648000.0,62,20,24,53,291,-4
20,30,89.5,1.2,,1,1,ue2,11,1.0,12,8600.0,12,0,0,0,26.6,-13.6,1,27,24000.0,5,1,16,0,328,-10
20,30,89.5,1.2,,1,1,ue2,10,1.0,15,9600000.0,479,2,0,11,27.0,-12.0,1,26,603000.0,57,27,32,3.91k,328,-4
20,30,89.5,1.2,,1,1,ue2,11,1.0,12,1100.0,3,0,0,0,27.6,-12.7,1,27,9600.0,2,0,0,0,361,-9
20,30,89.5,1.2,,1,1,ue2,10,1.0,15,3100000.0,158,0,0,0,27.7,-11.7,1,27,176000.0,15,4,21,0,335,-4
20,30,89.5,1.2,,1,1,ue2,11,1.0,12,16000.0,10,0,0,0,27.9,-12.7,1,27,24000.0,5,0,0,0,352,-9
20,30,89.5,1.2,,1,1,ue2,11,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,320,-4
20,30,89.5,1.2,,1,1,ue2,11,1.0,12,1500.0,4,0,0,0,27.7,-13.2,1,27,9700.0,2,0,0,0,345,-10
20,30,89.5,1.2,,1,1,ue2,11,1.0,17,576,1,1,50,0,30.7,-8.7,1,27,4900.0,1,0,0,0,271,-4
