ue1_distance_ft,ue2_distance_ft,gain_db,amp,amp_bandwidth,jammer_gnb_distance_ft,pci,ue_identifier,dl_cqi,dl_ri,dl_mcs,dl_brate,dl_ok,dl_nok,dl_percent,dl_bs,ul_pusch,ul_rsrp,ul_ri,ul_mcs,ul_brate,ul_ok,ul_nok,ul_percent,ul_bsr,ul_ta,ul_phr
5,10,89.5,5,2,15,1,ue2,10,1.0,0,0,0,0,0,0,28.4,-10.9,1,27,4900.0,1,0,0,0,339,-10
5,10,89.5,5,2,15,1,ue1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10,89.5,5,2,15,1,ue2,6,1.0,5,184,1,0,0,0,27.3,-2.5,1,27,12000.0,2,0,0,0,325,-7
5,10,89.5,5,2,15,1,ue1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10,89.5,5,2,15,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,324,-10
5,10,89.5,5,2,15,1,ue1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10,89.5,5,2,15,1,ue2,6,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,329,-7
5,10,89.5,5,2,15,1,ue1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10,89.5,5,2,15,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,302,-10
5,10,89.5,5,2,15,1,ue1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10,89.5,5,2,15,1,ue2,6,1.0,5,184,1,0,0,0,28.2,-2.5,1,27,12000.0,2,0,0,0,332,-7
5,10,89.5,5,2,15,1,ue1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10,89.5,5,2,15,1,ue2,10,1.0,0,0,0,0,0,0,n/a,n/a,1,0,0,0,0,0,0,302,-10
5,10,89.5,5,2,15,1,ue1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10,89.5,5,2,15,1,ue2,6,1.0,7,224,1,0,0,0,n/a,n/a,1,0,0,0,0,0,0,291,-7
5,10,89.5,5,2,15,1,ue1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10,89.5,5,2,15,1,ue2,10,1.0,0,0,0,0,0,0,27.2,-10.8,1,27,4900.0,1,0,0,0,314,-11
5,10,89.5,5,2,15,1,ue1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,10,89.5,5,2,15,1,ue2,6,1.0,5,184,1,0,0,0,n/a,n/a,1,0,0,0,0,0,0,296,-7
5,10,89.5,5,2,15,1,ue1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
